name,number,type,address,city,state,zip,lat,lng
OSHX,542,ANNEX,3600 MOSER STREET,OSHKOSH,WI,54901,44.06597112,-88.533024
GRBY,543,STATION,3383 SPIRIT WAY,GREEN BAY,WI,54304,44.4575918,-88.0920606
WAUS,544,STATION,1000 NORTH PARK VIEW CIRCLE,MOSINEE,WI,54455,44.790802,-89.6629899
EAGL,545,STATION,620 COMMERCE LOOP,EAGLE RIVER,WI,54521,45.9117126,-89.2407909
LACR,546,STATION,3251 BERLIN DRIVE,LA CROSSE,WI,54601,43.8814348,-91.1680518
EAUC,547,STATION,2435 PROSPECT DRIVE,EAU CLAIRE,WI,54703,44.8454845,-91.5446146
OSHK,549,STATION,1755 WEST FERNAU AVENUE,OSHKOSH,WI,54901,44.05729414,-88.56450085
OSSE,550,STATION,8450 REVERE LANE NORTH,OSSEO,MN,55369,45.1065747,-93.4101302
SPLL,551,HUB LOCAL,7 LONG LAKE ROAD,SAINT PAUL,MN,55115,45.0348247,-92.9764196
STPL,552,HUB,7 LONG LAKE ROAD,SAINT PAUL,MN,55115,45.0348247,-92.9764196
MPGR,553,STATION,19705 ROGERS DRIVE,ROGERS,MN,55374,45.18034585,-93.52674036
MINN,554,STATION,5800 12TH AVENUE EAST,SHAKOPEE,MN,55379,44.7849799,-93.4752412
NBNC,555,STATION,50 14TH STREET NW,SAINT PAUL,MN,55112,45.0727743,-93.1897451
